county,confirmed,deaths,state,percent_fair_or_poor_health,percent_smokers,percent_adults_with_obesity,percent_with_access_to_exercise_opportunities,percent_excessive_drinking,percent_uninsured,percent_some_college,percent_unemployed,percent_children_in_poverty,percent_single_parent_households,percent_severe_housing_problems,overcrowding,percent_adults_with_diabetes,percent_food_insecure,percent_insufficient_sleep,percent_uninsured_2,median_household_income,average_traffic_volume_per_meter_of_major_roadways,percent_homeowners,population_2,percent_less_than_18_years_of_age,percent_65_and_over,percent_black,percent_asian,percent_hispanic,percent_female,percent_rural
Abbeville,6,0,South Carolina,19.895035607,17.323519011,36.7,59.039225715,15.904724284,12.904608789,52.524476867,3.9769337841,30.8,37.117222547,14.315789474,0.4631578947,15.8,15.2,36.083828134,15.893652765,42412,11.569478929,76.255949233,24541,20.064382055,21.771728943,27.504991647,0.4115561713,1.5402795322,51.640112465,78.577330133
Acadia,65,2,Louisiana,20.890035316,21.534088073,38.4,42.525051398,19.778028886,10.665807234,43.559911476,5.373246493,35.4,33.415384615,12.271021849,3.509159126,11.4,15.1,32.357657993,13.977176785,40484,63.696998784,70.758730722,62190,25.846599132,15.261296028,17.925711529,0.3199871362,2.7271265477,51.210805596,51.69896233
Accomack,8,0,Virginia,20.08919894,18.31692932,36.3,37.395971535,15.480572436,16.649112857,45.12724118,3.8121942489,27,45.931681572,15.12301013,2.0984081042,15.9,14.1,36.750185269,19.386914245,42879,60.028971747,67.853145288,32412,20.535604097,23.565346168,27.971121807,0.7805750956,9.3391336542,51.200172776,100
Ada,360,3,Idaho,11.474881999,11.990700664,25.6,89.468734469,17.87623376,8.7432917648,73.77104829,2.4598711788,10.2,23.753214315,14.021197007,1.4557356608,7.9,12,26.296860375,11.067353765,66827,277.25357103,68.370461239,469966,23.775549721,14.424873289,1.24030249,2.8082882592,8.3146440381,49.939782878,5.4722006295
Adair,10,0,Missouri,21.401499805,20.528843188,27.9,78.318428555,18.929940413,10.602460531,65.321563682,3.513868066,19.9,29.515516856,17.970401691,0.7399577167,8.4,17.5,31.876806176,12.266112266,40395,45.798686547,60.04415011,25339,18.370890722,14.819053633,2.8493626426,2.2810687083,2.5652156754,51.876553929,37.852930839
Adair,14,0,Oklahoma,28.544651748,27.744408618,47.7,28.466252259,11.779265855,24.535132467,35.138162808,4.1712673292,34.9,38.335911982,15.428571429,5.6507936508,24.3,19.1,39.486644785,29.569257422,35156,16.672959667,68.574011883,22082,26.578208496,15.904356489,0.5343718866,0.8015578299,6.8155058419,50.117742958,83.295860336
Adams,294,9,Colorado,16.643578713,16.324605425,27.8,93.051904086,18.915457358,11.026551173,57.044557101,3.471144192,12.6,31.022795686,18.129133858,5.3732283465,7.7,8,31.037644759,13.842716398,70199,490.4027736,65.210248672,511868,26.525588628,10.468909953,3.1885173521,4.3706580603,40.448904796,49.504559769,3.6204464191
Adams,16,0,Mississippi,27.277446718,22.206161811,35.3,69.077623309,12.264235602,14.979845776,41.741927502,6.2131762185,40.4,66.357696399,12.775140268,2.3737591713,13.2,24.7,41.060812539,18.712503,33392,150.33542613,61.74058725,31192,20.066042575,18.831751731,52.37240318,0.512952039,11.259297256,47.906514491,37.226367774
Adams,8,0,Nebraska,15.752684918,14.59706455,36.7,81.628618799,18.543539763,8.7603305785,70.761245675,2.8706109869,14.4,26.176668914,10.455974843,0.9040880503,11,11.7,30.110432127,10.742477977,55167,53.446151505,68.245476003,31511,23.674272476,18.203167148,0.9964774206,1.3328678874,10.866046777,50.157088001,22.484376993
Adams,21,0,Pennsylvania,15.315659333,16.215083888,35.6,60.623033913,19.244002902,7.4929335756,57.325999,3.274614031,11.2,26.680224676,12.25503005,1.8813692187,8.5,8.3,34.656743284,8.4559198233,62877,113.49198873,77.236684429,102811,19.9920242,20.381087627,1.5961327095,0.8753927109,7.1072161539,50.79417572,53.675781751
Adams,20,0,Washington,23.416773969,14.33154142,36.9,61.560230671,16.142726551,12.672961577,32.125916343,5.3908640152,20.4,37.636149544,22.319093287,12.641673932,10.3,7.6,29.515894863,18.387442722,52012,25.747375574,63.424587655,19759,35.447138013,11.058251936,0.5870742446,1.3158560656,64.299812744,49.34460246,40.159120034
Addison,34,0,Vermont,9.683870326,13.030216513,25.5,72.455935472,21.680184872,6.2158494994,68.574047401,2.5695313252,9.6,23.731997495,15.142065142,1.48995149,9,10.1,28.620235187,7.6180512625,68878,48.343573413,74.078599063,36973,16.863657263,19.898304168,1.2739025776,1.9500716739,2.2908608985,50.047331837,78.430786779
